Year;ID;male;female
95;14521;-;-
95;14522;-;-
95;14523;-;-
95;14524;-;-
95;14612;-;-
95;14625;-;-
95;14626;-;-
95;14627;-;-
95;14628;-;-
95;14713;-;-
95;14729;-;-
95;14730;-;-
95;15001;-;-
95;15002;-;-
95;15003;-;-
95;15081;-;-
95;15082;-;-
95;15083;-;-
95;15084;-;-
95;15085;-;-
95;15086;-;-
95;15087;-;-
95;15088;-;-
95;15089;-;-
95;15090;-;-
95;15091;-;-
95;15101;43521;47424
95;15151;38467;40987
95;15153;35096;37959
95;15154;56443;61140
95;15159;35023;37665
95;15171;67489;71932
95;15202;134787;147997
95;15256;71854;77814
95;15260;54953;58916
95;15261;69013;71556
95;15265;33770;35033
95;15266;34986;37101
95;15268;39361;42286
95;15303;124096;133560
95;15352;52855;56444
95;15355;39751;41539
95;15357;39587;42343
95;15358;49380;51282
95;15362;54154;56608
95;15363;72025;75411
95;15364;40141;43088
95;15367;38889;41587
95;15369;47347;50897
95;15370;52443;52928
95;16051;101304;109804
95;16052;59282;64273
95;16053;48820;52241
95;16054;26132;27459
95;16055;29570;32552
95;16056;21646;23691
95;16061;57823;59765
95;16062;49580;52290
95;16063;73491;75569
95;16064;59589;62640
95;16065;47806;50338
95;16066;71345;75523
95;16067;71855;76518
95;16068;40502;42133
95;16069;36849;38319
95;16070;59672;63718
95;16071;43444;45817
95;16072;33983;36738
95;16073;67420;71620
95;16074;45146;47080
95;16075;49486;52761
95;16076;61446;66090
95;16077;58022;62633
96;1001;41707;44923
96;1002;117864;125864
96;1003;101890;113783
96;1004;39437;42359
96;1051;66250;68677
96;1053;83548;88585
96;1054;79102;81623
96;1055;95602;102674
96;1056;139626;145228
96;1057;64051;63116
96;1058;128806;131917
96;1059;94942;95717
96;1060;117481;122224
96;1061;66021;67953
96;1062;102999;108324
96;2000;823901;884085
96;3101;121186;130134
96;3102;56907;59958
96;3103;61050;63605
96;3151;81933;82031
96;3152;130355;136878
96;3153;77319;82954
96;3154;49383;51854
96;3155;74470;79140
96;3156;42425;45784
96;3157;62568;65334
96;3158;59594;62980
96;3201;248122;274452
96;3241;-;-
96;3251;101739;103760
96;3252;77896;85935
96;3253;287790;302628
96;3254;141154;151816
96;3255;40236;43081
96;3256;61365;63070
96;3257;79357;84341
96;3351;87143;92599
96;3352;97854;101747
96;3353;108185;111256
96;3354;25153;26707
96;3355;76917;80930
96;3356;52420;53591
96;3357;77318;77325
96;3358;67603;68482
96;3359;92050;93503
96;3360;46343;49833
96;3361;63671;65691
96;3401;38316;39922
96;3402;25180;26290
96;3403;72588;80258
96;3404;79227;88099
96;3405;44091;45513
96;3451;51764;53198
96;3452;88717;92831
96;3453;71329;71351
96;3454;146982;148461
96;3455;48125;50513
96;3456;62234;64442
96;3457;76237;79484
96;3458;56908;57279
96;3459;170658;173910
96;3460;59947;60364
96;3461;46584;47817
96;3462;27185;28439
96;4011;263657;285169
96;4012;62984;65960
96;5111;268315;303160
96;5112;258262;274439
96;5113;290901;320926
96;5114;120161;127611
96;5116;128101;138772
96;5117;83545;92455
96;5119;108163;115721
96;5120;58407;63185
96;5122;79034;86053
96;5124;181705;198115
96;5154;143910;147059
96;5158;244344;260178
96;5162;215248;224080
96;5166;142188;148949
96;5170;228980;238968
96;5313;123546;124246
96;5314;143777;159096
96;5315;466728;497618
96;5316;79168;83809
96;5334;-;-
96;5354;148232;154884
96;5358;128734;131347
96;5362;218796;226082
96;5366;90577;92987
96;5370;119120;122300
96;5374;136906;145168
96;5378;131425;139542
96;5382;270542;281675
96;5512;58498;62553
96;5513;138855;150168
96;5515;124330;141418
96;5554;172579;174296
96;5558;100835;104928
96;5562;322135;340577
96;5566;208249;212847
96;5570;134875;139434
96;5711;153792;170340
96;5754;163887;169275
96;5758;121114;131264
96;5762;76319;78755
96;5766;174216;187863
96;5770;154192;164208
96;5774;138652;142783
96;5911;192395;206072
